City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,Batouri,4.4333,14.3667,75.69,27,28,0.56,CM,2/2/2022 20:31
432,Cabinda,-5.55,12.2,78.35,80,86,8.59,AO,2/2/2022 20:31
433,Zhezkazgan,47.8043,67.7144,3.02,88,13,6.71,KZ,2/2/2022 20:31
434,Salinopolis,-0.6136,-47.3561,79.07,83,97,14.03,BR,2/2/2022 20:31
435,Saint Anthony,45.0205,-93.218,8.83,53,0,5.99,US,2/2/2022 20:31
436,Moron,-34.6534,-58.6198,92.8,45,52,10,AR,2/2/2022 20:31
437,Raduzhnyy,62.0961,77.475,11.86,96,100,7.83,RU,2/2/2022 20:31
438,Comodoro Rivadavia,-45.8667,-67.5,82.26,23,0,16.11,AR,2/2/2022 20:31
439,Rapid Valley,44.0625,-103.1463,10.72,63,75,4,US,2/2/2022 20:31
440,Kununurra,-15.7667,128.7333,75.18,94,100,4.61,AU,2/2/2022 20:27
441,Algiers,36.7525,3.042,48.02,76,0,5.75,DZ,2/2/2022 20:27
442,Stykkisholmur,65.0757,-22.7297,23.83,76,94,5.88,IS,2/2/2022 20:31
443,Lata,40.1629,-8.3327,52.05,72,94,1.12,PT,2/2/2022 20:31
444,San Julian,21.0167,-102.1667,74.19,19,0,16.51,MX,2/2/2022 20:31
445,Rovaniemi,66.5,25.7167,11.61,92,20,9.22,FI,2/2/2022 20:26
446,Quelimane,-17.8786,36.8883,80.55,89,20,4.61,MZ,2/2/2022 20:31
447,Dunedin,-45.8742,170.5036,56.14,94,100,12.86,NZ,2/2/2022 20:31
448,Necochea,-38.5473,-58.7368,86.68,45,100,10.63,AR,2/2/2022 20:30
449,Mwinilunga,-11.7358,24.4293,61.99,95,100,2.13,ZM,2/2/2022 20:31
450,Senno,59.5336,33.9167,6.89,99,100,2.84,RU,2/2/2022 20:31
451,Taitung,22.7583,121.1444,68.34,84,92,6.89,TW,2/2/2022 20:31
452,Erenhot,43.6475,111.9767,-3.05,94,7,4.5,CN,2/2/2022 20:31
453,Bathsheba,13.2167,-59.5167,83.01,65,40,16.11,BB,2/2/2022 20:26
454,Kandi,11.1342,2.9386,72.37,10,55,5.41,BJ,2/2/2022 20:31
